npi,specialty_code
1013018415,68
1013018514,1
1013018514,41
1013018605,8
1013019017,1
1013019371,5
1013019678,1
1013019900,30
1013020288,8
1013020833,8
1013021344,5
1013021344,29
1013021344,41
1013022169,41
1013022433,9
1013022433,41
1013022615,6
1013022615,66
1013022722,41
1013022722,83
1013023274,41
1013023274,67
1013023365,10
1013023365,41
1013023365,66
1013023498,8
1013023795,9
1013023795,16
1013023795,66
1013024488,30
1013024868,1
1013024959,36
1013025071,16
1013025394,41
1013025667,78
1013025865,8
1013025915,8
1013026079,29
1013027150,2
1013027184,5
1013027325,41
1013027325,45
1013027424,41
1013027465,41
1013027838,41
1013027838,67
1013028018,41
1013028307,41
1013028315,2
1013028588,8
1013028976,47
1013029065,6
1013029065,41
1013029313,41
1013029487,1
1013029487,41
1013029487,45
1013029586,66
1013030337,40
1013030402,41
1013031087,1
1013031087,4
1013032713,68
1013032713,78
1013034412,40
1013035369,1
1013035369,8
1013037779,29
1013037993,40
1013039577,8
1013041078,40
1013041078,41
1013042019,29
1013042266,18
1013042886,30
1013043264,41
1013043264,83
1013043272,41
1013043272,77
1013043280,41
1013043314,2
1013043314,16
1013043678,40
1013043728,1
1013044601,20
1013045129,36
1013045863,36
1013048412,20
1013049188,7
1013049683,5
1013050541,41
1013051143,36
1013052513,36
1013053669,66
1013053727,20
1013053784,36
1013054378,41
1013055011,66
1013055433,40
1013057561,66
1013058122,2
1013059286,41
1013059385,40
1013059872,30
1013059872,41
1013060888,36
1013062439,30
1013062660,5
1013063163,16
1013063502,18
1013063833,1
1013063833,41
1013063957,36
1013063999,36
1013064005,8
1013065002,8
1013065044,66
1013065069,36
1013065077,8
1013065085,8
1013065093,40
1013065184,18
1013065473,17
1013065754,41
1013065804,41
1013065812,41
1013065820,22
1013065838,66
1013065846,41
1013065911,8
1013065929,41
1013065937,41
1013065978,30
1013065994,40
1013066034,16
1013067040,41
1013067818,40
1013069038,5
1013069236,41
1013069327,1
1013069426,5
1013069806,40
1013069814,66
1013071539,8
1013071539,41
1013071976,16
1013072016,10
1013072073,40
1013072149,8
1013073766,4
1013073766,84
1013073824,41
1013073824,66
1013074236,34
1013074277,14
1013074582,8
1013074632,41
1013074632,78
1013076207,41
1013076603,41
1013076603,45
1013076611,66
1013076629,40
1013076637,41
1013076686,6
1013076686,33
1013076694,1
1013076694,41
1013076751,41
1013076777,1
1013077569,8
1013077569,41
1013077569,67
1013078229,83
1013078393,41
